Date,N,windows_1,scaled_windows_1
495,1.1513542,282.0,0.5685483870967742
496,-0.57668257,282.0,0.5674044265593562
497,0.009415248,282.0,0.5662650602409639
498,1.1918932,282.0,0.5651302605210421
499,0.69097805,282.0,0.564
500,4.0151844,282.0,0.562874251497006
501,0.26609042,282.0,0.5617529880478087
502,2.793749,282.0,0.5606361829025845
503,0.2555025,282.0,0.5595238095238095
504,3.1048777,282.0,0.5584158415841585
505,-0.35257453,282.0,0.5573122529644269
506,0.43579733,282.0,0.5562130177514792
507,-1.4799502,282.0,0.5551181102362205
508,0.86561596,282.0,0.5540275049115914
509,-2.3886702,282.0,0.5529411764705883
510,-0.4827134,282.0,0.5518590998043053
511,-3.255698,282.0,0.55078125
512,-1.6686319,282.0,0.5497076023391813
513,-3.050783,282.0,0.5486381322957199
514,-0.03497654,282.0,0.5475728155339806
515,-2.3685513,282.0,0.5465116279069767
516,1.1218824,282.0,0.5454545454545454
517,-3.8972487,282.0,0.5444015444015444
518,-0.005967851,282.0,0.5433526011560693
519,-4.021335,282.0,0.5423076923076923
520,-2.2906744,282.0,0.5412667946257198
521,-2.0809784,282.0,0.5402298850574713
522,-1.4509201,282.0,0.5391969407265774
523,-1.0060997,282.0,0.5381679389312977
524,-1.5836107,282.0,0.5371428571428571
525,-2.012293,282.0,0.5361216730038023
526,-0.26597548,282.0,0.5351043643263758
527,-2.607417,282.0,0.5340909090909091
528,-0.24955918,282.0,0.5330812854442344
529,-2.9924865,282.0,0.5320754716981132
530,-0.8036947,282.0,0.5310734463276836
531,-3.0949492,282.0,0.5300751879699248
532,-0.85231614,282.0,0.5290806754221389
533,-4.3491473,282.0,0.5280898876404494
534,0.07837519,282.0,0.5271028037383177
535,-5.035872,282.0,0.5261194029850746
536,1.2097298,282.0,0.5251396648044693
537,-3.3284044,282.0,0.5241635687732342
538,-0.017229015,282.0,0.5231910946196661
539,-4.1186414,282.0,0.5222222222222223
540,-0.6809192,282.0,0.5212569316081331
541,-2.925691,282.0,0.5202952029520295
542,0.02280749,282.0,0.5193370165745856
543,-2.4768662,282.0,0.5183823529411765
544,-2.1199188,282.0,0.5174311926605505
545,-0.5438521,282.0,0.5164835164835165
546,-2.1070628,282.0,0.5155393053016454
547,-0.41828755,282.0,0.5145985401459854
548,0.34076113,282.0,0.5136612021857924
549,-3.1825666,282.0,0.5127272727272727
550,0.9465236,282.0,0.5117967332123412
551,-2.2222483,282.0,0.5108695652173914
552,1.869021,282.0,0.5099457504520796
553,-4.4419103,282.0,0.5090252707581228
554,2.418047,282.0,0.5081081081081081
555,-3.7860887,282.0,0.5071942446043165
556,2.301031,282.0,0.5062836624775583
557,-4.0579515,141.0,0.25268817204301075
558,1.1434288,282.0,0.5044722719141324
559,-3.9906628,282.0,0.5035714285714286
560,1.9881507,282.0,0.5026737967914439
561,-2.9680774,282.0,0.501779359430605
562,0.41578412,282.0,0.5008880994671403
563,-1.8809929,282.0,0.5
564,0.58106536,141.0,0.24955752212389382
565,-1.2427155,400.0,0.7067137809187279
566,-1.9085763,400.0,0.7054673721340388
567,-0.3319736,282.0,0.4964788732394366
568,-1.8238125,400.0,0.70298769771529
569,-0.6541817,400.0,0.7017543859649122
570,-1.5265185,141.0,0.2469352014010508
571,0.08886678,141.0,0.2465034965034965
572,-2.7199717,400.0,0.6980802792321117
573,0.5419873,400.0,0.6968641114982579
574,-3.732439,400.0,0.6956521739130435
575,-0.052230086,282.0,0.4895833333333333
576,-5.86639,282.0,0.48873483535528595
577,-1.0057118,282.0,0.48788927335640137
578,-5.901317,282.0,0.48704663212435234
579,-2.029145,141.0,0.24310344827586206
580,-5.0659375,400.0,0.6884681583476764
581,-1.2615268,141.0,0.2422680412371134
582,-3.7678082,141.0,0.241852487135506
583,-0.56198937,400.0,0.684931506849315
584,-3.5118723,400.0,0.6837606837606838
585,1.2301202,400.0,0.6825938566552902
586,-3.79661,282.0,0.4804088586030664
587,1.5497475,282.0,0.47959183673469385
588,-3.3325665,200.0,0.3395585738539898
589,3.0822456,200.0,0.3389830508474576
590,-3.2383578,282.0,0.47715736040609136
591,1.802133,282.0,0.47635135135135137
592,-3.8562796,141.0,0.23777403035413153
593,1.2017865,400.0,0.6734006734006734
594,-2.3551645,400.0,0.6722689075630253
595,-1.220053,282.0,0.47315436241610737
596,-2.5414984,282.0,0.4723618090452261
597,-0.60712403,282.0,0.47157190635451507
598,-2.3279614,282.0,0.4707846410684474
599,-0.5316982,282.0,0.47
600,-1.7098867,282.0,0.46921797004991683
601,-1.4164674,282.0,0.4684385382059801
602,-3.8478642,200.0,0.33167495854063017
603,-1.6323293,141.0,0.23344370860927152
604,-3.6829617,200.0,0.3305785123966942
605,-2.8868935,282.0,0.46534653465346537
606,-4.3496323,141.0,0.23228995057660626
607,-2.8270469,282.0,0.46381578947368424
608,-3.2123613,282.0,0.4630541871921182
609,-2.3169792,282.0,0.46229508196721314
610,-3.7095637,282.0,0.46153846153846156
611,-2.5137799,141.0,0.23039215686274508
612,-3.44437,282.0,0.4600326264274062
613,-0.31645128,200.0,0.3257328990228013
614,-3.1688328,282.0,0.4585365853658537
615,-1.0516381,282.0,0.4577922077922078
616,-2.0681477,141.0,0.22852512155591573
617,-1.2444333,282.0,0.4563106796116505
618,-0.9634679,282.0,0.4555735056542811
619,-1.7472585,282.0,0.45483870967741935
620,-0.4985404,282.0,0.45410628019323673
621,-1.2363946,400.0,0.6430868167202572
622,-1.1172571,400.0,0.6420545746388443
623,-2.0394933,282.0,0.4519230769230769
624,0.10134247,282.0,0.4512
625,-1.7349384,282.0,0.4504792332268371
626,1.2141575,282.0,0.44976076555023925
627,-1.7424649,282.0,0.44904458598726116
628,0.81513256,282.0,0.4483306836248013
629,-0.37157646,282.0,0.44761904761904764
630,1.3506466,282.0,0.4469096671949287
631,-0.21389586,400.0,0.6329113924050633
632,-0.19070666,400.0,0.631911532385466
633,-1.837465,282.0,0.444794952681388
634,-1.0815767,282.0,0.4440944881889764
635,-2.3130834,282.0,0.44339622641509435
636,-2.208643,282.0,0.4427001569858713
637,-2.538627,400.0,0.6269592476489029
638,0.47462922,400.0,0.6259780907668232
639,-4.0554023,282.0,0.440625
640,1.4843212,400.0,0.62402496099844
641,-5.7564793,400.0,0.6230529595015576
642,1.2992567,282.0,0.4385692068429238
643,-5.209251,282.0,0.43788819875776397
644,0.53969985,400.0,0.6201550387596899
645,-3.9961405,400.0,0.6191950464396285
646,0.61042255,400.0,0.6182380216383307
647,-2.9024422,400.0,0.6172839506172839
648,0.8069505,400.0,0.6163328197226502
649,-1.5658548,400.0,0.6153846153846154
650,2.7278354,282.0,0.43317972350230416
651,-3.0356805,400.0,0.6134969325153374
652,0.42640987,400.0,0.6125574272588055
653,-1.2355144,400.0,0.6116207951070336
654,-0.6984518,400.0,0.6106870229007634
655,1.2378118,282.0,0.4298780487804878
656,-0.75064063,400.0,0.60882800608828
657,-0.3278146,282.0,0.42857142857142855
658,-2.1837645,400.0,0.6069802731411229
659,0.7763027,400.0,0.6060606060606061
660,-1.5365491,282.0,0.4266263237518911
661,0.12729247,400.0,0.6042296072507553
662,-1.4616755,400.0,0.6033182503770739
663,-1.2944858,400.0,0.6024096385542169
664,0.085715756,400.0,0.6015037593984962
665,-1.0200806,400.0,0.6006006006006006
666,0.7439647,282.0,0.42278860569715143
667,-0.36021024,282.0,0.4221556886227545
668,-0.8563136,400.0,0.5979073243647235
669,1.2354676,400.0,0.5970149253731343
670,0.62734115,282.0,0.4202682563338301
671,1.0253339,400.0,0.5952380952380952
672,-0.4370236,400.0,0.5943536404160475
673,1.8409194,400.0,0.5934718100890207
674,1.5208533,282.0,0.4177777777777778
675,1.248032,400.0,0.591715976331361
676,0.860545,400.0,0.5908419497784343
677,0.13088004,400.0,0.5899705014749262
678,0.76732194,282.0,0.41531664212076586
679,2.5222576,282.0,0.4147058823529412
680,1.6118544,282.0,0.41409691629955947
681,2.4495227,400.0,0.5865102639296188
682,1.7230086,282.0,0.4128843338213763
683,2.6823256,400.0,0.5847953216374269
684,1.5978222,282.0,0.4116788321167883
685,2.7572072,282.0,0.4110787172011662
686,1.5283955,400.0,0.5822416302765647
687,1.014552,400.0,0.5813953488372093
688,1.9601698,282.0,0.409288824383164
689,1.9277059,400.0,0.5797101449275363
690,2.5566056,400.0,0.5788712011577424
691,0.39695057,282.0,0.407514450867052
692,2.6748352,282.0,0.4069264069264069
693,0.42836937,282.0,0.40634005763688763
694,3.0892625,282.0,0.40575539568345326
695,-0.19847286,400.0,0.5747126436781609
696,4.782986,400.0,0.5738880918220947
697,1.5235056,282.0,0.4040114613180516
698,3.2536557,400.0,0.5722460658082976
699,2.260968,400.0,0.5714285714285714
700,2.1868458,282.0,0.40228245363766046
